Price,Year,Kilometer,Fuel Type,Transmission,Engine,Max Power,Max Torque,Length,Width,Fuel Tank Capacity
3499000,2019,73000,Diesel,Automatic,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,4795,1855,80
190000,2006,130000,Petrol,Manual,1799 cc,130 bhp @ 6300 rpm,171.62 Nm @ 4300 rpm,4545,1750,50
1250000,2012,50000,Diesel,Automatic,,,,,,
775000,2021,24000,Petrol,Automatic,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,3845,1735,37
825000,2021,43000,Diesel,Manual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,3995,1775,37
2250000,2016,40500,Diesel,Automatic,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,4456,1796,50
865000,2017,49013,Petrol,Automatic,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,4440,1695,40
299000,2013,64983,Diesel,Manual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,3795,1680,45
570000,2017,92270,Petrol,Manual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,3955,1694,40
385000,2013,65000,Petrol,Manual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,3970,1682,45
350000,2014,110000,Diesel,Manual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,3990,1680,35
2345000,2017,47000,Petrol,Automatic,2494 cc,179 bhp @ 6000 rpm,233 Nm @ 4100 rpm,4825,1825,70
1650000,2022,10000,Petrol,Automatic,1997 cc,150 bhp @ 5000 rpm,320 Nm @ 1500 rpm,3985,1820,57
1100000,2011,51500,Diesel,Automatic,2143 cc,207@4200,500@1600,4596,1770,66
2900000,2018,35000,Diesel,Automatic,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,4385,1831,64
545000,2017,61518,Petrol,Manual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3995,1745,37
2990000,2018,34000,Diesel,Automatic,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,4454,2044,63
615000,2017,36058,Petrol,Manual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3995,1745,37
890000,2016,88000,Diesel,Automatic,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,4270,1780,60
430000,2015,98112,Petrol,Manual,1598 cc,103 bhp @ 5250 rpm,153 Nm @ 3800 rpm,4384,1699,55
1650000,2013,58000,Diesel,Automatic,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,4596,1770,66
1599000,2015,92355,Petrol,Automatic,2494 cc,202 bhp @ 5700 rpm,270 Nm @ 4500 rpm,4825,1825,65
691000,2019,16652,Petrol,Manual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,3995,1735,37
650000,2016,76584,Diesel,Manual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,4331,1822,50
415000,2015,42500,CNG,Manual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,3599,1495,35
669000,2016,70000,Diesel,Manual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,3995,1790,48
2950000,2015,84700,Diesel,Automatic,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,4886,1938,
3900000,2018,83400,Diesel,Automatic,,,,,,
16200000,2022,2766,Petrol,Automatic,2995 cc,335 bhp @ 5300 rpm,450 Nm @ 1340 rpm,4931,1983,75
5100000,2017,56000,Petrol,Automatic,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,4686,1810,59
525000,2015,68766,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
750000,2018,16339,Petrol,Manual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,4375,1700,43
445000,2016,63882,Petrol,Manual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,3990,1680,35
493000,2012,28732,Petrol,Manual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,4540,1760,55
611000,2017,51349,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
475000,2014,61866,Petrol,Automatic,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,3765,1660,43
925000,2017,29401,Petrol,Manual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,4270,1780,60
1325000,2012,98580,Diesel,Automatic,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,4915,1874,65
3900000,2021,8000,Diesel,Automatic,1995 cc,184 bhp @ 4000 rpm,350 Nm @ 1750 rpm,4454,2044,63
1299000,2020,31348,Diesel,Manual,1497 cc,115 bhp @ 3750 rpm,300 Nm @ 1500 rpm,3995,1821,42
580000,2018,28851,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3840,1735,37
229000,2013,38175,Petrol,Manual,,,,,,
1575000,2021,8519,Petrol,Manual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,3985,1820,57
375000,2011,78000,Petrol,Manual,1497 cc,118@6600,146@4600,4420,1695,42
2250000,2015,48000,Diesel,Automatic,2143 cc,204 bhp @ 4200 rpm,500 Nm @ 1600 rpm,4879,1854,80
1400000,2014,143000,Diesel,Automatic,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,4705,1840,80
425000,2017,39000,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,3995,1706,44
425000,2014,24000,Petrol,Automatic,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,4386,1699,55
250000,2015,62000,Petrol,Manual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,3395,1490,35
425000,2012,78000,Diesel,Manual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,4265,1695,45
120000,2009,48500,LPG,Manual,1086 cc,63@5500,89@3000,3565,1525,35
235000,2014,82000,Diesel,Manual,1399 cc,68 bhp @ 4000 rpm,160 Nm @ 2000 rpm,3795,1680,45
3050000,2020,40910,Diesel,Automatic,1968 cc,141 bhp @ 3500 rpm,320 Nm @ 1750 rpm,4456,1796,50
2145000,2020,10290,Diesel,Manual,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4598,1894,50
1245000,2021,10530,Petrol,Automatic,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,3995,1775,37
549000,2015,61900,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
484999,2013,78000,Diesel,Manual,1199 cc,74 bhp @ 4200 rpm,180 Nm @ 2000 rpm,3970,1682,45
415000,2014,57402,Petrol,Manual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3995,1695,42
200000,2013,57000,CNG,Manual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,3565,1525,35
375000,2015,87500,Petrol,Manual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3765,1660,43
1375000,2021,16000,Electric,Automatic,,,,3993,1811,
1875000,2022,18000,Petrol,Automatic,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,4300,1790,50
2950000,2020,10700,Petrol,Automatic,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,4318,1805,55
4900000,2018,78000,Diesel,Automatic,2967 cc,245 bhp @ 2910 rpm,600 Nm @ 1500 rpm,5052,1968,75
1050000,2020,16282,Petrol,Automatic,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,3995,1775,37
470000,2013,66000,Diesel,Manual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,4370,1700,43
345000,2017,72019,Petrol,Manual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,3599,1495,35
1490000,2013,195000,Diesel,Automatic,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,4899,2094,
550000,2007,92170,Diesel,Manual,2609 cc,116@3800,277@1700,4495,1817,60
484999,2018,55221,Petrol,Manual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3765,1660,43
3350000,2018,25000,Diesel,Automatic,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,4795,1855,80
210000,2011,58888,Petrol,Manual,,,,,,
5651000,2022,1,Petrol,Automatic,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,4663,1898,70
890000,2020,23500,Petrol,Manual,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,4360,1822,50
325000,2012,68000,Petrol,Manual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3995,1695,42
1390000,2019,29096,Petrol,Automatic,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,4270,1780,55
459999,2016,61223,Petrol,Manual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3765,1660,43
1075000,2017,86000,Diesel,Manual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4395,1818,60
484999,2013,87000,Diesel,Manual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,4440,1729,45
385000,2013,79287,Petrol,Manual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,3995,1710,45
4400000,2018,47009,Diesel,Automatic,,,,,,
3900000,2018,48945,Diesel,Automatic,1968 cc,190 bhp @ 3800 rpm,400 Nm @ 1750 rpm,4933,1874,75
1050000,2019,17000,Diesel,Manual,1497 cc,121 bhp @ 3500 rpm,300 Nm @ 1750 rpm,4585,1866,45
1575000,2019,55000,Diesel,Manual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,4315,1800,50
655000,2016,38779,Petrol,Manual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3995,1745,37
4500000,2019,72000,Diesel,Automatic,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,5063,1860,80
865000,2016,67000,Diesel,Manual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,4296,1695,45
699000,2017,67000,Petrol,Manual,1591 cc,121 bhp @ 6300 rpm,158 Nm @ 4200 rpm,4370,1700,43
425000,2012,70000,Diesel,Manual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,4370,1700,43
6500000,2020,6000,Diesel,Automatic,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,4600,2069,70
2900000,2017,46000,Diesel,Automatic,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,4795,1855,80
4550000,2017,34000,Diesel,Automatic,2143 cc,201 bhp @ 3800 rpm,500 Nm @ 1600 rpm,4819,2141,93
490000,2015,23103,Petrol,Manual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3995,1660,43
11500000,2016,27000,Petrol,Automatic,4663 cc,453 bhp @ 5250 rpm,700 Nm @ 1800 rpm,5453,1899,70
1475000,2019,9576,Petrol,Automatic,1591 cc,122 bhp @ 6400 rpm,151 Nm @ 4850 rpm,4270,1780,55
1729000,2020,27000,Petrol,Automatic,1451 cc,141 bhp @ 5000 rpm,250 Nm @ 1600 rpm,4655,1835,60
1764999,2021,1942,Petrol,Automatic,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,4323,1809,48
250000,2006,119300,Petrol,Automatic,2354 cc,152@6000,215@3600,4630,1780,58
245000,2016,55000,Petrol,Manual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,3395,1490,35
490000,2015,98000,Diesel,Manual,1461 cc,84 bhp @ 3750 rpm,200 Nm @ 1900 rpm,4315,1822,50
550000,2017,61400,Petrol,Manual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3765,1660,43
675000,2016,87693,Petrol,Manual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,4440,1695,40
2225000,2015,31000,Petrol,Automatic,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,4686,1810,66
560000,2016,75210,Diesel,Manual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,3985,1734,40
225000,2012,69000,Petrol,Manual,1598 cc,105 bhp @ 5250 rpm,153 Nm @ 3800 rpm,4000,1642,45
499000,2014,88000,Diesel,Automatic,1498 cc,103 bhp @ 4400 rpm,250 Nm @ 1500 rpm,4386,1699,55
1055000,2020,15000,Petrol,Automatic,998 cc,118 bhp @ 6000 rpm,172 Nm @ 1500 rpm,3995,1790,45
2048999,2020,45350,Diesel,Automatic,2179 cc,153 bhp @ 3750 rpm,360 Nm @ 1750 rpm,4585,1890,70
2775000,2018,68189,Diesel,Automatic,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,4633,1811,57
1650000,2015,75000,Diesel,Automatic,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,4417,1804,50
350000,2013,45000,Petrol,Manual,998 cc,68@6200,90@3500,3539,1495,35
1450000,2014,33000,Diesel,Automatic,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,4915,1874,65
600000,2014,83000,Diesel,Manual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,4430,1817,60
1250000,2012,78000,Diesel,Automatic,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,4899,2094,
1675000,2014,211000,Diesel,Manual,2982 cc,169 bhp @ 3600 rpm,343 Nm @ 1400 rpm,4705,1840,80
575000,2015,67000,Petrol,Manual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,3985,1734,45
699000,2017,75000,Diesel,Manual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,3999,1765,52
2450000,2014,48600,Diesel,Automatic,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,5089,1983,100
2775000,2016,48000,Diesel,Automatic,2143 cc,204 bhp @ 3800 rpm,500 Nm @ 1600 rpm,4686,1810,66
430000,2020,5790,Petrol,Manual,998 cc,67 bhp @ 5500 rpm,90 Nm @ 3500 rpm,3565,1520,27
1165000,2018,32000,Diesel,Manual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,4456,1820,60
1780000,2020,65433,Diesel,Manual,1956 cc,169 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4655,1835,60
295000,2011,87230,Diesel,Manual,1248 cc,75@4000,190@2000,3760,1690,43
495000,2017,38258,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3840,1735,37
975000,2019,56881,Petrol,Manual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,4440,1695,40
645000,2013,76000,Diesel,Manual,2494 cc,102@5600,200@1400,4555,1770,55
425000,2014,72000,Diesel,Manual,1461 cc,108 bhp @ 3900 rpm,248 Nm @ 2250 rpm,4315,1822,50
1350000,2012,72000,Diesel,Automatic,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,4385,1831,64
3200000,2014,60514,Diesel,Automatic,2987 cc,234@3800,535@1600,4781,1911,95
1250000,2013,71141,Diesel,Automatic,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,4370,1783,60
5600000,2018,40937,Diesel,Automatic,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,4899,2094,65
560000,2013,37000,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3995,1695,42
1221000,2019,46000,Diesel,Manual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,4456,1820,60
2975000,2015,86999,Diesel,Automatic,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,4886,1938,
295000,2009,70200,Petrol,Automatic,1497 cc,118@6600,146@4600,4420,1695,42
1300000,2012,64800,Petrol,Automatic,1796 cc,186 bhp @ 5600 rpm,285 Nm @ 4000 rpm,4596,1770,66
950000,2016,73000,Diesel,Automatic,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,4270,1780,60
1350000,2012,72000,Diesel,Automatic,2987 cc,231@3800,540@1600,4868,1854,80
2682000,2015,76345,Diesel,Automatic,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,4804,2141,70
286000,2017,40564,Petrol,Manual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,3395,1490,35
340000,2013,98500,Diesel,Manual,1336 cc,89 bhp @ 4000 rpm,219.744 Nm @ 1500 rpm,3995,1710,45
1125000,2020,46807,Petrol,Automatic,999 cc,109 bhp @ 5000 rpm,175 Nm @ 1750 rpm,4413,1699,55
580000,2018,81000,Petrol,Automatic,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,3994,1811,44
495000,2015,13716,Petrol,Manual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3995,1695,42
550000,2014,89000,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3995,1695,42
1485000,2021,13000,Diesel,Automatic,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,3995,1790,45
885000,2018,38000,Petrol,Manual,1598 cc,104 bhp @ 5200 rpm,153 Nm @ 3750 rpm,4413,1699,55
3650000,2012,25500,Petrol,Automatic,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,4649,1860,64
715000,2020,17000,Petrol,Automatic,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,3805,1680,37
2485000,2012,44724,Petrol,Automatic,3496 cc,272 bhp @ 6000 rpm,350 Nm @ 5000 rpm,5157,2183,80
2250000,2020,24549,Diesel,Manual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,4735,1830,55
1050000,2017,97000,Diesel,Automatic,1582 cc,126 bhp @ 4000 rpm,265 Nm @ 1900 rpm,4270,1780,60
3600000,2018,7800,Diesel,Automatic,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,4795,1855,80
295000,2010,78000,Petrol,Manual,1497 cc,118@6600,146@4600,4420,1695,42
375000,2019,55000,Petrol,Manual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,3679,1579,28
7200000,2021,20000,Petrol,Automatic,1984 cc,180 bhp @ 4000 rpm,320 Nm @ 1500 rpm,4915,1874,75
2395000,2021,13594,Diesel,Automatic,1956 cc,168 bhp @ 3750 rpm,350 Nm @ 1750 rpm,4661,1894,50
1775000,2014,75000,Diesel,Automatic,1968 cc,177 bhp @ 3750 rpm,380 Nm @ 1750 rpm,4915,1874,65
275000,2011,65000,Diesel,Manual,1248 cc,75@4000,190@2000,3715,1680,43
325000,2014,43037,Petrol,Manual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,3610,1680,35
425000,2013,26000,Diesel,Manual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,3850,1695,42
1475000,2020,78000,Diesel,Manual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,4456,1820,60
